Date,AMD,AMZN,GOOGL,META,MSFT,NVDA,ORCL,PLTR,^IXIC
2023-01-03,64.0199966430664,85.81999969482422,88.4516830444336,123.87469482421875,233.98565673828125,14.30068302154541,80.45584869384766,6.389999866485596,10386.98046875
2023-01-04,64.66000366210938,85.13999938964844,87.41948699951172,126.48645782470703,223.7503662109375,14.734249114990234,81.18622589111328,6.579999923706055,10458.759765625
2023-01-05,62.33000183105469,83.12000274658203,85.55357360839844,126.05943298339844,217.118896484375,14.250734329223633,81.02285766601562,6.320000171661377,10305.240234375
2023-01-06,63.959999084472656,86.08000183105469,86.68502807617188,129.1180877685547,219.67770385742188,14.844139099121094,82.3202133178711,6.400000095367432,10569.2900390625
2023-01-09,67.23999786376953,87.36000061035156,87.35993194580078,128.5718994140625,221.8166046142578,15.612372398376465,83.36199188232422,6.5,10635.650390625
2023-01-10,68.05000305175781,89.87000274658203,87.7569351196289,132.06747436523438,223.5062255859375,15.89309024810791,83.43916320800781,6.699999809265137,10742.6298828125
2023-01-11,69.05999755859375,95.08999633789062,90.83368682861328,131.96817016601562,230.2646026611328,15.984997749328613,85.46485900878906,6.980000019073486,10931.669921875
2023-01-12,70.80000305175781,95.2699966430664,90.44660186767578,135.7616729736328,232.9406280517578,16.494487762451172,85.63848876953125,7.010000228881836,11001.099609375
2023-01-13,71.0,98.12000274658203,91.42919158935547,136.02976989746094,233.64382934570312,16.882099151611328,86.04360961914062,6.960000038146973,11079.16015625
2023-01-17,71.58999633789062,96.05000305175781,90.60541534423828,134.42103576660156,234.7376708984375,17.684297561645508,85.46485900878906,7.070000171661377,11095.1103515625
2023-01-18,70.52999877929688,95.45999908447266,90.43669128417969,132.09727478027344,230.3036651611328,17.359621047973633,83.64173889160156,6.900000095367432,10957.009765625
2023-01-19,67.70999908447266,93.68000030517578,92.35221099853516,135.20553588867188,226.51425170898438,16.74822998046875,82.89897918701172,6.730000019073486,10852.26953125
2023-01-20,70.06999969482422,97.25,97.2849349975586,138.40321350097656,234.61068725585938,17.8211612701416,84.16262817382812,7.019999980926514,11140.4296875
2023-01-23,76.52999877929688,97.5199966430664,99.04166412353516,142.27613830566406,236.91558837890625,19.173809051513672,85.82176208496094,7.380000114440918,11364.41015625
2023-01-24,74.69999694824219,96.31999969482422,96.96733856201172,142.14707946777344,236.38816833496094,19.245729446411133,86.52593231201172,7.019999980926514,11334.26953125
2023-01-25,74.91000366210938,97.18000030517578,94.50594329833984,140.5184326171875,234.9916229248047,19.303680419921875,86.46805572509766,7.21999979019165,11313.3603515625
