Date,AMZN,CSCO,INTC,MSFT,MSTR,ORCL,QCOM,^IXIC
1999-01-04,2.957813024520874,15.418023109436035,17.127546310424805,21.532672882080078,15.09375,5.730031967163086,2.1463091373443604,2208.050048828125
1999-01-05,3.112499952316284,15.680879592895508,17.473114013671875,22.372596740722656,15.6875,5.904931545257568,2.211641550064087,2251.27001953125
1999-01-06,3.450000047683716,16.13584327697754,18.359174728393555,23.09799575805664,15.6875,6.179774284362793,2.3011717796325684,2320.860107421875
1999-01-07,3.971874952316284,16.762672424316406,18.323728561401367,22.98345184326172,15.5625,6.079832553863525,2.320530414581299,2326.090087890625
1999-01-08,4.006249904632568,17.25807762145996,18.38575553894043,22.88800621032715,17.25,6.163116455078125,2.3326292037963867,2344.409912109375
1999-01-11,4.615624904632568,16.934547424316406,19.81231689453125,22.52531623840332,17.0,6.288043975830078,2.4003820419311523,2384.590087890625
1999-01-12,4.084374904632568,15.8729829788208,19.218652725219727,21.714021682739258,16.1875,6.1214728355407715,2.3568265438079834,2320.75
1999-01-13,3.700000047683716,15.509016036987305,19.70598602294922,21.962175369262695,15.6875,6.096487522125244,2.2793948650360107,2316.81005859375
1999-01-14,3.450000047683716,15.58989143371582,18.961692810058594,21.647201538085938,15.25,5.9465742111206055,2.3447277545928955,2276.820068359375
1999-01-15,3.5093750953674316,16.44925308227539,19.19207191467285,22.868925094604492,15.3125,6.2797160148620605,2.4729747772216797,2348.199951171875
1999-01-19,3.4953129291534424,17.2075252532959,19.759153366088867,23.766109466552734,15.53125,6.887696266174316,2.5746026039123535,2408.169921875
1999-01-20,2.825000047683716,17.16708755493164,19.599653244018555,24.835111618041992,15.5625,6.7794270515441895,2.4003820419311523,2415.489990234375
1999-01-21,2.6500000953674316,16.38859748840332,18.926246643066406,24.17652130126953,15.75,6.487929821014404,2.3035919666290283,2344.719970703125
1999-01-22,3.075000047683716,16.631240844726562,18.27056312561035,23.861560821533203,16.4375,6.646170616149902,2.284233570098877,2338.8798828125
1999-01-25,2.809375047683716,16.732345581054688,18.51866340637207,24.7205867767334,15.28125,6.804415225982666,2.2503578662872314,2369.31005859375
1999-01-26,2.8773438930511475,17.328847885131836,19.413591384887695,26.19999122619629,14.5,7.0459394454956055,2.322951078414917,2433.409912109375
1999-01-27,3.140625,16.732345581054688,18.819921493530273,25.751399993896484,15.125,6.79608678817749,2.289073944091797,2407.139892578125
1999-01-28,3.0718750953674316,17.61192512512207,19.44902992248535,26.57223129272461,14.6875,7.154210567474365,2.4923312664031982,2477.340087890625
1999-01-29,2.92343807220459,18.04666519165039,19.98065757751465,26.72493553161621,14.5,7.379083156585693,2.5479865074157715,2505.889892578125
1999-02-01,2.8968749046325684,18.602725982666016,19.546497344970703,26.409976959228516,14.8125,7.878793716430664,2.453615665435791,2510.090087890625
1999-02-02,2.7562499046325684,18.180625915527344,19.08574867248535,25.598678588867188,14.375,7.837149143218994,2.42457914352417,2463.419921875
1999-02-03,3.143749952316284,17.97589874267578,19.670452117919922,25.474607467651367,14.75,8.095335006713867,2.5794429779052734,2493.409912109375
