Price,Close,High,Low,Open,Volume
Ticker,^SP500EW,^SP500EW,^SP500EW,^SP500EW,^SP500EW
Date,,,,,
2023-01-03,5732.39013671875,5801.2998046875,5689.6298828125,5739.52978515625,0
2023-01-04,5822.89990234375,5845.85986328125,5732.39013671875,5732.39013671875,0
2023-01-05,5762.18994140625,5822.89990234375,5744.740234375,5822.89990234375,0
2023-01-06,5900.509765625,5915.06005859375,5762.18994140625,5762.18994140625,0
2023-01-09,5900.7001953125,5976.16015625,5898.77001953125,5900.56982421875,0
2023-01-10,5945.08984375,5946.2099609375,5875.52978515625,5900.7001953125,0
2023-01-11,6016.72021484375,6017.56005859375,5945.08984375,5945.08984375,0
2023-01-12,6038.89013671875,6059.7099609375,5978.669921875,6016.72021484375,0
2023-01-13,6053.02001953125,6061.0400390625,5982.16015625,6038.89013671875,0
2023-01-17,6039.39990234375,6076.52001953125,6032.72021484375,6053.02001953125,0
2023-01-18,5946.47021484375,6077.740234375,5944.2001953125,6039.39990234375,0
2023-01-19,5883.830078125,5946.47021484375,5863.3701171875,5946.47021484375,0
2023-01-20,5989.56982421875,5990.91015625,5873.2001953125,5883.830078125,0
2023-01-23,6064.43994140625,6088.60009765625,5989.56982421875,5989.56982421875,0
2023-01-24,6051.0400390625,6065.27978515625,6012.580078125,6064.43994140625,0
2023-01-25,6063.14990234375,6063.56005859375,5967.16015625,6051.0400390625,0
2023-01-26,6114.3798828125,6115.85009765625,6050.7099609375,6063.14990234375,0
2023-01-27,6123.009765625,6152.509765625,6089.5,6114.3798828125,0
2023-01-30,6057.2998046875,6124.490234375,6054.14990234375,6122.77978515625,0
2023-01-31,6158.68017578125,6158.85009765625,6057.2998046875,6057.2998046875,0
2023-02-01,6222.72021484375,6262.41015625,6101.97021484375,6158.58984375,0
2023-02-02,6290.759765625,6321.240234375,6222.72021484375,6222.72021484375,0
2023-02-03,6214.990234375,6290.759765625,6197.06982421875,6290.759765625,0
2023-02-06,6168.18994140625,6215.0,6148.58984375,6215.0,0
2023-02-07,6226.47021484375,6243.60986328125,6121.580078125,6168.18994140625,0
2023-02-08,6163.60986328125,6226.47021484375,6153.35986328125,6226.47021484375,0
2023-02-09,6107.18994140625,6223.2998046875,6090.06005859375,6163.60986328125,0
2023-02-10,6124.77978515625,6129.85986328125,6079.18994140625,6107.18994140625,0
2023-02-13,6192.35009765625,6193.1298828125,6121.5400390625,6124.81005859375,0
2023-02-14,6181.7998046875,6224.68017578125,6127.3798828125,6192.22021484375,0
2023-02-15,6209.93017578125,6210.60986328125,6139.64990234375,6181.7998046875,0
2023-02-16,6137.81982421875,6209.93017578125,6122.0,6209.93017578125,0
2023-02-17,6122.8798828125,6137.81982421875,6075.81982421875,6137.81982421875,0
2023-02-21,5990.5498046875,6122.7099609375,5982.68994140625,6122.7099609375,0
2023-02-22,5982.4501953125,6021.02001953125,5961.97998046875,5990.5498046875,0
2023-02-23,6006.240234375,6031.81982421875,5943.7001953125,5983.14013671875,0
2023-02-24,5953.56982421875,6005.9599609375,5907.7900390625,6005.9599609375,0
2023-02-27,5960.27978515625,6024.9501953125,5946.669921875,5953.56982421875,0
2023-02-28,5944.16015625,5987.7998046875,5942.52978515625,5960.27978515625,0
2023-03-01,5929.89013671875,5952.10986328125,5907.080078125,5944.16015625,0
2023-03-02,5976.22021484375,5988.18017578125,5888.64990234375,5929.89013671875,0
2023-03-03,6058.60986328125,6066.1298828125,5976.22021484375,5976.22021484375,0
2023-03-06,6028.72021484375,6084.31005859375,6020.60009765625,6058.60986328125,0
2023-03-07,5930.83984375,6034.9599609375,5923.66015625,6028.72021484375,0
2023-03-08,5943.9599609375,5960.580078125,5909.7001953125,5930.83984375,0
2023-03-09,5810.9599609375,5962.9599609375,5799.669921875,5943.9599609375,0
2023-03-10,5688.35009765625,5813.47998046875,5659.080078125,5810.9599609375,0
2023-03-13,5631.8798828125,5705.990234375,5570.0,5688.35009765625,0
2023-03-14,5707.0400390625,5757.68994140625,5631.8798828125,5631.8798828125,0
2023-03-15,5606.81005859375,5694.52001953125,5530.9501953125,5694.52001953125,0
2023-03-16,5682.2001953125,5692.77001953125,5549.60986328125,5605.4599609375,0
2023-03-17,5585.7900390625,5682.2001953125,5567.3701171875,5682.2001953125,0
2023-03-20,5657.35009765625,5677.31005859375,5586.14990234375,5586.14990234375,0
2023-03-21,5730.81005859375,5743.1201171875,5657.35009765625,5657.35009765625,0
2023-03-22,5604.0400390625,5751.27978515625,5602.7001953125,5730.81005859375,0
2023-03-23,5586.02001953125,5686.990234375,5546.60986328125,5604.0400390625,0
2023-03-24,5630.77001953125,5634.39990234375,5522.5400390625,5586.02001953125,0
2023-03-27,5668.47021484375,5696.3701171875,5630.77001953125,5630.77001953125,0
2023-03-28,5680.259765625,5696.0400390625,5655.93994140625,5668.47021484375,0
2023-03-29,5765.7099609375,5769.39013671875,5680.259765625,5680.259765625,0
2023-03-30,5791.93017578125,5819.6201171875,5765.7099609375,5765.7099609375,0
2023-03-31,5878.10009765625,5879.580078125,5791.93017578125,5791.93017578125,0
2023-04-03,5883.10009765625,5904.14013671875,5855.259765625,5878.10009765625,0
2023-04-04,5824.31982421875,5893.85009765625,5798.1298828125,5883.06005859375,0
2023-04-05,5810.93994140625,5826.10009765625,5786.169921875,5824.009765625,0
2023-04-06,5813.66015625,5820.60009765625,5785.16015625,5810.93994140625,0
2023-04-10,5849.990234375,5850.64013671875,5786.77978515625,5813.66015625,0
