Series Name,Series Code,Country Name,Country Code,2024 [YR2024]
GDP (current US$),NY.GDP.MKTP.CD,Thailand,THA,526517658841.684
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,18743803170827.2
GDP (current US$),NY.GDP.MKTP.CD,United States,USA,28750956130731.2
GDP (current US$),NY.GDP.MKTP.CD,United Kingdom,GBR,3686033044482.13
GDP (current US$),NY.GDP.MKTP.CD,Germany,DEU,4685592577804.69
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 01/28/2026,,,,
