Date,Close,Shares_Outstanding,Market_Cap
2023-04-27,27.20339012145996,2470000128.0,67192377082.04004
2023-04-28,27.725955963134766,2470000128.0,68483114777.865234
2023-05-01,28.885995864868164,2470000128.0,71348413483.63184
2023-05-02,28.18657684326172,2470000128.0,69620848410.73828
2023-05-03,27.778911590576172,2470000128.0,68613915184.42383
2023-05-04,27.53911590576172,2506249984.0,69019908798.18945
2023-05-05,28.65618324279785,2470000128.0,70780776277.70215
2023-05-08,29.126794815063477,2470000128.0,71943186921.43652
2023-05-09,28.547273635864258,2470000128.0,70511769534.63574
2023-05-10,28.86101531982422,2473129984.0,71377042356.14062
2023-05-11,28.55426788330078,2473129984.0,70618416073.35938
2023-05-12,28.31646728515625,2473129984.0,70030304283.875
2023-05-15,28.928956985473633,2520689920.0,72920930269.39697
2023-05-16,29.188739776611328,2520689920.0,73575762132.40723
2023-05-17,30.152942657470703,2473129984.0,74572146592.02344
2023-05-18,31.651691436767578,2473129984.0,78278747136.58594
2023-05-19,31.238037109375,2473129984.0,77255726216.5
2023-05-22,31.150114059448242,2473129984.0,77038281085.4414
2023-05-23,30.662517547607422,2473129984.0,75832391531.91406
2023-05-24,30.51263999938965,2473129984.0,75461724873.48828
2023-05-25,37.948463439941406,2473129984.0,93851482780.04688
2023-05-26,38.91365432739258,2473129984.0,96238525304.08594
2023-05-30,40.07769012451172,2473129984.0,99117337136.39062
2023-05-31,37.802581787109375,2470000128.0,93372381852.89062
2023-06-01,39.73697280883789,2470000128.0,98150327924.16211
2023-06-02,39.29434585571289,2470000128.0,97057039293.28711
2023-06-05,39.13846969604492,2470000128.0,96672025158.95508
2023-06-06,38.62190246582031,2470000128.0,95396104034.17969
2023-06-07,37.447750091552734,2470000128.0,92495947519.44727
2023-06-08,38.48200225830078,2470000128.0,95050550503.69922
2023-06-09,38.741817474365234,2470000128.0,95692294120.63477
2023-06-12,39.45329284667969,2470000128.0,97449638381.32031
2023-06-13,40.99217987060547,2470000128.0,101250689527.39453
2023-06-14,42.96574783325195,2470000128.0,106125402647.74805
2023-06-15,42.62199401855469,2470000128.0,105276330681.44531
2023-06-16,42.66095733642578,2470000128.0,105372570081.57422
2023-06-20,43.77614974975586,2470000128.0,108127095485.24414
2023-06-21,43.013702392578125,2470000128.0,106243850415.42188
2023-06-22,42.993717193603516,2470000128.0,106194486971.39648
2023-06-23,42.17831039428711,2513779968.0,106026991753.24512
2023-06-26,40.60246658325195,2470000128.0,100288097657.74805
2023-06-27,41.845558166503906,2470000128.0,103358534027.4961
2023-06-28,41.08710861206055,2470000128.0,101485163530.93945
2023-06-29,40.79231262207031,2470000128.0,100757017397.92969
2023-06-30,42.271240234375,2470000128.0,104409968789.625
2023-07-03,42.382164001464844,2470000128.0,104683950508.53516
2023-07-05,42.28623962402344,2470000128.0,104447017283.97656
2023-07-06,42.07239532470703,2470000128.0,103918821837.29297
2023-07-07,42.47210693359375,2470000128.0,104906109562.40625
2023-07-10,42.14934158325195,2470000128.0,104108879105.74805
2023-07-11,42.374168395996094,2470000128.0,104664201362.0039
2023-07-12,43.870086669921875,2483180032.0,108937323220.85938
2023-07-13,45.943572998046875,2470000128.0,113480631185.95312
2023-07-14,45.435943603515625,2470000128.0,112226786516.48438
2023-07-17,46.42721939086914,2470000128.0,114675237838.13086
2023-07-18,47.45947265625,2470000128.0,117224903535.75
2023-07-19,47.04276657104492,2470000128.0,116195639451.95508
2023-07-20,45.486907958984375,2470000128.0,112352668481.01562
2023-07-21,44.27678680419922,2470000128.0,109363669073.80078
2023-07-24,44.57957077026367,2470000128.0,110111545508.73633
2023-07-25,45.64579391479492,2470000128.0,112745116812.20508
2023-07-26,45.41896057128906,2470000128.0,112184838424.71094
2023-07-27,45.86663055419922,2470000128.0,113290583339.80078
