Fiscal Year,Quarter,Price
2022-03-31,Q1,"$68,011"
2022-06-30,Q2,"$69,685"
2022-09-30,Q3,"$69,092"
2022-12-31,Q4,"$76,048"
2023-03-31,Q1,"$69,787"
2023-06-30,Q2,"$74,604"
2023-09-30,Q3,"$76,693"
2023-12-31,Q4,"$86,310"
2024-03-31,Q1,"$80,539"
2024-06-30,Q2,"$84,742"
2024-09-30,Q3,"$88,268"
2024-12-31,Q4,"$96,469"
2025-03-31,Q1,"$90,234"
2025-06-30,Q2,"$96,428"
2025-09-30,Q3,"$102,346"
