Fiscal Year,Quarter,Price
2022-03-31,Q1,"$27,908"
2022-06-30,Q2,"$28,822"
2022-09-30,Q3,"$27,714"
2022-12-31,Q4,"$32,165"
2023-03-31,Q1,"$28,645"
2023-06-30,Q2,"$31,999"
2023-09-30,Q3,"$34,146"
2023-12-31,Q4,"$40,111"
2024-03-31,Q1,"$36,455"
2024-06-30,Q2,"$39,071"
2024-09-30,Q3,"$40,589"
2024-12-31,Q4,"$48,385"
2025-03-31,Q1,"$42,314"
2025-06-30,Q2,"$47,516"
2025-09-30,Q3,"$51,242"
2025-12-31,Q4,"$59,893"
