Fiscal Year,Quarter,Price
2022-03-31,Q1,"$446,357"
2022-06-30,Q2,"$473,010"
2022-09-30,Q3,"$477,880"
2022-12-31,Q4,"$508,624"
2023-03-31,Q1,"$525,186"
2023-06-30,Q2,"$533,317"
2023-09-30,Q3,"$558,159"
2023-12-31,Q4,"$608,350"
2024-03-31,Q1,"$634,338"
2024-06-30,Q2,"$678,134"
2024-09-30,Q3,"$725,516"
2024-12-31,Q4,"$827,519"
2025-03-31,Q1,"$883,855"
2025-06-30,Q2,"$1,003,697"
2025-09-30,Q3,"$1,181,092"
