Date,AMD,AMZN,GOOGL,META,MSFT,NVDA,ORCL,PLTR
2022-01-03,150.24000549316406,170.4044952392578,143.90419006347656,336.1915588378906,323.8984069824219,30.062768936157227,83.03219604492188,18.530000686645508
2022-01-04,144.4199981689453,167.52200317382812,143.316650390625,334.1955261230469,318.3444519042969,29.233373641967773,83.92015075683594,18.170000076293945
2022-01-05,136.14999389648438,164.35699462890625,136.74179077148438,321.9212646484375,306.1238708496094,27.550630569458008,81.67192077636719,16.959999084472656
2022-01-06,136.22999572753906,163.25399780273438,136.7145233154297,330.1537780761719,303.7049560546875,28.123523712158203,81.8615493774414,16.739999771118164
2022-01-07,132.0,162.5540008544922,135.98948669433594,329.4884338378906,303.8597412109375,27.194320678710938,82.97089385986328,16.559999465942383
2022-01-10,132.0,161.48599243164062,137.62960815429688,325.79425048828125,304.082275390625,27.347026824951172,84.64906311035156,16.5
2022-01-11,137.30999755859375,165.36199951171875,138.68807983398438,332.0505065917969,304.769287109375,27.763219833374023,83.89057159423828,16.889999389648438
2022-01-12,137.47000122070312,165.20700073242188,140.36988830566406,330.9482116699219,307.95263671875,27.944868087768555,83.72937774658203,16.719999313354492
2022-01-13,132.74000549316406,161.21400451660156,137.5477294921875,324.21527099609375,294.9192810058594,26.523622512817383,83.2363510131836,16.010000228881836
2022-01-14,136.8800048828125,162.13800048828125,138.4345245361328,329.59765625,300.14422607421875,26.889907836914062,83.14154815673828,16.010000228881836
2022-01-18,131.92999267578125,158.91749572753906,134.97813415527344,315.94305419921875,292.8390197753906,25.85291862487793,81.112548828125,14.970000267028809
2022-01-19,128.27000427246094,156.2989959716797,134.10324096679688,317.3730163574219,293.4969482421875,25.018537521362305,79.05508422851562,14.5600004196167
2022-01-20,121.88999938964844,151.66749572753906,132.30783081054688,314.36407470703125,291.822998046875,24.10331153869629,78.42933654785156,14.619999885559082
2022-01-21,118.80999755859375,142.64300537109375,129.3739776611328,301.0669250488281,286.4335632324219,23.32880973815918,77.95525360107422,13.529999732971191
2022-01-24,116.52999877929688,144.54400634765625,129.82310485839844,306.5685119628906,286.7625427246094,23.326814651489258,78.14488983154297,13.399999618530273
2022-01-25,111.12999725341797,139.98599243164062,125.98310852050781,298.0679016113281,279.137939453125,22.280838012695312,76.86492919921875,13.0600004196167
