Fiscal Year,Quarter,Price
2022-03-26,Q1,"$5,887"
2022-06-25,Q2,"$6,550"
2022-09-24,Q3,"$5,565"
2022-12-31,Q4,"$5,599"
2023-04-01,Q1,"$5,353"
2023-07-01,Q2,"$5,359"
2023-09-30,Q3,"$5,800"
2023-12-30,Q4,"$6,168"
2024-03-30,Q1,"$5,473"
2024-06-29,Q2,"$5,835"
2024-09-28,Q3,"$6,819"
2024-12-28,Q4,"$7,658"
2025-03-29,Q1,"$7,438"
2025-06-28,Q2,"$7,685"
2025-09-27,Q3,"$9,246"
