Fiscal Year,Quarter,Price
2022-09-30,Q1,"$50,122"
2022-12-31,Q2,"$52,747"
2023-03-31,Q3,"$52,857"
2023-06-30,Q4,"$56,189"
2023-09-30,Q1,"$56,517"
2023-12-31,Q2,"$62,020"
2024-03-31,Q3,"$61,858"
2024-06-30,Q4,"$64,727"
2024-09-30,Q1,"$65,585"
2024-12-31,Q2,"$69,632"
2025-03-31,Q3,"$70,066"
2025-06-30,Q4,"$76,441"
2025-09-30,Q1,"$77,673"
2025-12-31,Q2,"$81,273"
