Fiscal Year,Quarter,Price
2022-05-01,Q1,"$8,288"
2022-07-31,Q2,"$6,704"
2022-10-30,Q3,"$5,931"
2023-01-29,Q4,"$6,051"
2023-04-30,Q1,"$7,192"
2023-07-30,Q2,"$13,507"
2023-10-29,Q3,"$18,120"
2024-01-28,Q4,"$22,103"
2024-04-28,Q1,"$26,044"
2024-07-28,Q2,"$30,040"
2024-10-27,Q3,"$35,082"
2025-01-26,Q4,"$39,331"
2025-04-27,Q1,"$44,062"
2025-07-27,Q2,"$46,743"
2025-10-26,Q3,"$57,006"
