Fiscal Year,Quarter,Price
2022-03-31,Q1,"$116,444"
2022-06-30,Q2,"$121,234"
2022-09-30,Q3,"$127,101"
2022-12-31,Q4,"$149,204"
2023-03-31,Q1,"$127,358"
2023-06-30,Q2,"$134,383"
2023-09-30,Q3,"$143,083"
2023-12-31,Q4,"$169,961"
2024-03-31,Q1,"$143,313"
2024-06-30,Q2,"$147,977"
2024-09-30,Q3,"$158,877"
2024-12-31,Q4,"$187,792"
2025-03-31,Q1,"$155,667"
2025-06-30,Q2,"$167,702"
2025-09-30,Q3,"$180,169"
